,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,74,Dogecoin,DOGE,dogecoin,888,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143037176383.7052,143037176383.7052,True,,11,,,,2024-02-12T05:29:00.000Z,0.08029433654537027,335144137.16916996,57.6481,-0.18656251,-2.08066686,2.97184119,-0.29062166,-16.3868057,7.00741261,11485075179.052713,0.638,11485075179.05,,2024-02-12T05:29:00.000Z,,,,,,2024-02-12 05:38:46.104048
11,1958,TRON,TRX,tron,929,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88081824436.65222,88081825196.46071,True,,12,71659659264.0,8892830310.533045,,2024-02-12T05:28:00.000Z,0.12409813836500584,184425261.1008778,-2.2108,0.02252017,-0.39546825,3.69675635,15.52457026,19.01411764,16.7656678,10930790436.38182,0.6072,10930790530.67,,2024-02-12T05:28:00.000Z,,,,,,2024-02-12 05:38:46.104048
12,6636,Polkadot,DOT,polkadot-new,682,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1277958829.5162618,1410219331.2246134,True,,13,,,,2024-02-12T05:28:00.000Z,7.093917179193103,169102287.269229,9.2827,-0.05390793,-2.21206101,3.76438696,-7.46722436,-4.45372351,30.91798875,9065734095.00692,0.5036,10003979140.2,,2024-02-12T05:28:00.000Z,,,,,,2024-02-12 05:38:46.104048
13,3890,Polygon,MATIC,polygon,1271,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9610740414.388042,10000000000.0,False,,14,,,,2024-02-12T05:28:00.000Z,0.8303433833216012,245633161.9250243,-2.5662,-0.34584241,-3.51425912,7.60191628,-3.9943936,-5.62929057,-11.91472612,7980214711.908614,0.4432,8303433833.22,,2024-02-12T05:28:00.000Z,,,,,,2024-02-12 05:38:46.104048
14,11419,Toncoin,TON,toncoin,200,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3458292238.7078233,5102578386.258407,True,,15,3414166606.0,7099412755.479898,,2024-02-12T05:29:00.000Z,2.079398452027358,27923070.09690017,14.2319,-0.01478995,-0.71122765,1.33184947,-2.11444483,-4.31146693,-11.53494739,7191167527.827274,0.3994,10610293597.73,,2024-02-12T05:29:00.000Z,,,,,,2024-02-12 05:38:46.104048
0,1,Bitcoin,BTC,bitcoin,10816,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19625425.0,19625425.0,False,,1,,,,2024-02-12T05:31:00.000Z,48185.290794481174,19262407535.496727,4.9818,0.15173866,-0.23368563,13.08301402,12.16643522,12.57244158,31.71438234,945656810590.2806,52.5276,1011891106684.1,,2024-02-12T05:31:00.000Z,,,,,,2024-02-12 05:39:47.199878
1,1027,Ethereum,ETH,ethereum,8397,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120169997.44293813,120169997.44293813,True,,2,,,,2024-02-12T05:31:00.000Z,2499.6390782784833,6935100940.305985,-2.5411,-0.0344328,-1.00457803,9.25100678,-1.86250148,10.57016782,21.40116188,300381621644.9936,16.685,300381621644.99,,2024-02-12T05:31:00.000Z,,,,,,2024-02-12 05:39:47.199878
2,825,Tether USDt,USDT,tether,74514,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,96475135177.57817,99600626148.96388,True,,3,,,,2024-02-12T05:30:00.000Z,1.0002965911182744,31497520665.784927,4.7486,-0.00452984,-0.0128009,0.12140472,0.04903009,0.0074563,3.538e-05,96503748845.80617,5.3604,99630166810.05,,2024-02-12T05:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-02-12 05:39:47.199878
3,1839,BNB,BNB,bnb,2060,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149545289.24967918,149545289.24967918,False,,4,,,,2024-02-12T05:30:00.000Z,320.2159928035836,712894853.379017,-3.7017,0.09885536,-1.02882742,6.10109251,7.55188993,28.29206854,31.60684113,47886793266.1851,2.6599,47886793266.19,,2024-02-12T05:30:00.000Z,,,,,,2024-02-12 05:39:47.199878
4,5426,Solana,SOL,solana,625,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,437310891.36632335,569376958.788106,True,,5,,,,2024-02-12T05:31:00.000Z,105.97701640646203,1525207801.6026168,-4.2741,0.12896805,-3.00913063,10.62596493,15.02365031,49.41178814,95.007685,46344903509.05338,2.5743,60340871302.95,,2024-02-12T05:31:00.000Z,,,,,,2024-02-12 05:39:47.199878
5,52,XRP,XRP,xrp,1227,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54506969135.0,99987912526.0,False,,6,,,,2024-02-12T05:31:00.000Z,0.5217408612206176,751088820.6385187,22.3087,-0.2312781,-1.16281801,3.54694967,-9.26413184,-16.66049805,-21.53506566,28438513019.02052,1.5797,52174086122.06,,2024-02-12T05:31:00.000Z,,,,,,2024-02-12 05:39:47.199878
6,3408,USDC,USDC,usd-coin,16656,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,27922548984.264103,27922548984.264103,False,,7,,,,2024-02-12T05:31:00.000Z,1.0000615616742052,4094240973.5774856,6.8265,0.01009623,0.02200309,-0.00769854,-0.00450229,-0.00332081,0.00412149,27924267943.12765,1.5512,27924267943.13,,2024-02-12T05:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-02-12 05:39:47.199878
7,2010,Cardano,ADA,cardano,1068,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35442797280.238,36613928911.921,False,,8,,,,2024-02-12T05:30:00.000Z,0.5379789537851757,430895715.6964541,-10.4049,-0.11519263,-4.2177257,8.52798282,-1.94280073,-17.57597532,48.99214444,19067479000.042507,1.0591,24209052920.33,,2024-02-12T05:30:00.000Z,,,,,,2024-02-12 05:39:47.199878
8,5805,Avalanche,AVAX,avalanche,661,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,367475733.44849443,435508643.44849443,False,,9,,,,2024-02-12T05:30:00.000Z,38.81421580653033,544742855.7774936,-17.552,0.18091146,-3.76247425,11.89011493,8.4727348,0.7774458,131.30065184,14263282421.732878,0.7923,27946235380.7,,2024-02-12T05:30:00.000Z,,,,,,2024-02-12 05:39:47.199878
9,1975,Chainlink,LINK,chainlink,1631,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,10,,,,2024-02-12T05:30:00.000Z,20.054652461682828,761720614.1202327,28.4058,0.12665724,0.16887282,8.15211018,41.90951778,35.57158106,36.15058069,11774085867.694895,0.654,20054652461.68,,2024-02-12T05:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-02-12 05:39:47.199878
10,74,Dogecoin,DOGE,dogecoin,888,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143037176383.7052,143037176383.7052,True,,11,,,,2024-02-12T05:31:00.000Z,0.08033364077530729,335289375.0042869,57.5214,-0.10250105,-2.0372148,3.04685427,-0.2542284,-16.41107417,7.09090968,11490697145.12284,0.6383,11490697145.12,,2024-02-12T05:31:00.000Z,,,,,,2024-02-12 05:39:47.199878
11,1958,TRON,TRX,tron,929,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88081824436.65222,88081825196.46071,True,,12,71659659264.0,8894361419.537945,,2024-02-12T05:30:00.000Z,0.12411950476585991,184457186.03031296,-2.201,0.03339301,-0.37675566,3.70722307,15.5014997,19.02540221,16.79672094,10932672427.950691,0.6073,10932672522.26,,2024-02-12T05:30:00.000Z,,,,,,2024-02-12 05:39:47.199878
12,6636,Polkadot,DOT,polkadot-new,682,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1277958829.5162618,1410219331.2246134,True,,13,,,,2024-02-12T05:30:00.000Z,7.096906350235857,169147984.010526,9.322,-0.0227919,-2.1746306,3.80207415,-7.44565172,-4.41034525,30.9792018,9069554132.533941,0.5038,10008194526.99,,2024-02-12T05:30:00.000Z,,,,,,2024-02-12 05:39:47.199878
13,3890,Polygon,MATIC,polygon,1271,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9610740414.388042,10000000000.0,False,,14,,,,2024-02-12T05:30:00.000Z,0.8305037266827372,246067238.93195164,-2.4126,-0.33711841,-3.49492192,7.63924074,-3.96188193,-5.61860758,-11.75113612,7981755730.329663,0.4434,8305037266.83,,2024-02-12T05:30:00.000Z,,,,,,2024-02-12 05:39:47.199878
14,11419,Toncoin,TON,toncoin,200,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3458292238.7078233,5102578386.258407,True,,15,3414166606.0,7103329763.344273,,2024-02-12T05:31:00.000Z,2.0805457328476584,27941170.76992455,14.2369,0.06986008,-0.56443276,1.42872071,-1.89698199,-4.32189374,-11.72665564,7195135160.183738,0.3997,10616147688.05,,2024-02-12T05:31:00.000Z,,,,,,2024-02-12 05:39:47.199878
0,1,Bitcoin,BTC,bitcoin,10816,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19625425.0,19625425.0,False,,1,,,,2024-02-12T05:32:00.000Z,48181.89689683727,19271786452.461365,5.0324,0.12613313,-0.24923529,13.04882956,12.20477666,12.59278873,31.68945045,945590203906.6127,52.4871,1011819834833.58,,2024-02-12T05:32:00.000Z,,,,,,2024-02-12 05:40:48.490418
1,1027,Ethereum,ETH,ethereum,8397,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120169997.44293813,120169997.44293813,True,,2,,,,2024-02-12T05:32:00.000Z,2499.3655359384434,6938187281.212836,-2.5025,-0.01812295,-1.03642887,9.21440958,-1.86106527,10.63932821,21.37238672,300348750062.6904,16.6715,300348750062.69,,2024-02-12T05:32:00.000Z,,,,,,2024-02-12 05:40:48.490418
2,825,Tether USDt,USDT,tether,74514,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,96475135177.57817,99600626148.96388,True,,3,,,,2024-02-12T05:31:00.000Z,1.0002741867375682,31495949474.923088,4.6617,-0.00356308,-0.00205962,0.11104024,0.0568667,0.00259558,-0.00434061,96501587380.14896,5.3603,99627935319.71,,2024-02-12T05:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-02-12 05:40:48.490418
3,1839,BNB,BNB,bnb,2060,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149545289.24967918,149545289.24967918,False,,4,,,,2024-02-12T05:31:00.000Z,320.17739141430724,712703657.3973703,-3.7599,0.10278224,-1.04738732,6.1024669,7.47952307,28.30622752,31.59808801,47881020610.26032,2.6596,47881020610.26,,2024-02-12T05:31:00.000Z,,,,,,2024-02-12 05:40:48.490418
